Morningside Nature Preserve,"Parking lot, 2020 Lenox Rd NE, Atlanta, GA 30324",33.8099025,-84.3520896,1
Delta Flight Museum,"1220 Woolman Pl, Hapeville, GA 30354",33.6559034,-84.4222901,2
Atlantas downtown view,"Atlanta, GA 30312",33.7639588,-84.3719735,3
Fernbank Museum | 3D Theater | Forest,"767 Clifton Rd N E, Atlanta, GA 30307",33.7739247,-84.3279985,4
Oakland Cemetery,"248 Oakland Ave SE, Atlanta, GA 30312",33.748535,-84.3729897,5
Georgia Aquarium,"225 Baker St NW, Atlanta, GA 30313",33.763382,-84.3951098,6
Children's Museum of Atlanta,"275 Centennial Olympic Park Dr NW, Atlanta, GA 30313",33.7625707,-84.3917327,7
Swan House at Atlanta History Center,"130 W Paces Ferry Rd NW, Atlanta, GA 30305",33.8404395,-84.3875917,8
Jimmy Carter Presidential Library and Museum,"441 John Lewis Freedom Pkwy NE Atlanta, GA 30307 United States",33.7663441,-84.3562588,9
Cascade Springs Nature Preserve,"2852 Cascade Rd Atlanta, GA 30311 United States",33.719509,-84.4812907,10
Atlanta Botanical Garden,"1345 Piedmont Ave NE, Atlanta, GA 30309",33.7899568,-84.3725988,11
Atlanta Memorial Park,"384 Woodward Way NW Atlanta, GA 30305 United States",33.8195028,-84.4102711,12
Trap Music Museum,"630 Travis St NW, Atlanta, GA 30318",33.7717788,-84.4085049,13
Margaret Mitchell House,"979 Crescent Ave NE, Atlanta, GA 30309",33.7813296,-84.3844722,14
Michael C. Carlos Museum,"571 South Kilgo Cir NE Atlanta, GA 30322 United States",33.790345,-84.3243433,15
DOGNY Project Monument,"31 M.L.K. Jr Dr SW, Atlanta, GA 30303",33.7501407,-84.3881628,16
Pemberton Place,"126 Ivan Allen Jr Blvd NW, Atlanta, GA 30308",33.763396,-84.3938264,17
Grant Park,"840 Cherokee Ave SE, Atlanta, GA 30315",33.735704,-84.371164,18
Alligator Mural,"Forsyth St SW & Mitchell St SW Atlanta, GA 30303 United States",33.7518834,-84.3942817,19
"""It's a living"" street art","130 10th St NE, Atlanta, GA 30309",33.7822601,-84.3828964,20
Center For Puppetry Arts,"1404 Spring St NW, Atlanta, GA 30309",33.792875,-84.3898599,21
Centennial Olympic Park,"Atlanta, GA 30313",33.760463,-84.3930831,22
Gurl Mobb Museum,"2115 Piedmont Rd NE, Atlanta, GA 30324",33.8127915,-84.3657056,23
Tiny Door Atlanta Door 1,"Atlanta, GA 30316",33.7523941,-84.3630266,24
Time to Escape - Atlanta Escape Room (Downtown),"231 Peachtree Rd NE b19 Atlanta, GA 30303 United States",33.7599199,-84.3867529,25
Piedmont Park,"Atlanta, GA 30309",33.7879265,-84.3721682,26
